DeviceTimeStamp,Primary_VL1,Primary_VL2,Primary_VL3,Primary_IL1,Primary_IL2,Primary_IL3,Secondary_VL1,Secondary_VL2,Secondary_VL3,Secondary_IL1,Secondary_IL2,Secondary_IL3,Oil_Temperature,Power_factor,High_Voltage_Winding_Resistance_1,High_Voltage_Winding_Resistance_2,High_Voltage_Winding_Resistance_3,Low_Voltage_Winding_Resistance_1,Low_Voltage_Winding_Resistance_2,Low_Voltage_Winding_Resistance_3,Total_copper_loss,Total_iron_loss,Frequency,Fault
27-06-2022 12:30,10.82,10.91,10.95,39.5,40.1,41.2,0.42,0.44,0.39,989.0,1003.302,1030.824,47.0,0.87,2.0,2.01,1.99,0.02,0.01,0.03,13129.99982,16500.0,50.0,0.0
27-06-2022 12:40,11.0,11.0,10.8,39.4,39.2,40.5,0.41,0.45,0.38,980.0,980.784,1013.31,48.0,0.87,1.97,1.96,2.0,0.01,0.03,0.02,15944.28248,15000.0,50.0,0.0
27-06-2022 12:50,11.153,10.9,10.85,38.5,38.5,40.8,0.4,0.46,0.44,962.0,963.27,1020.816,49.0,0.87,1.96,1.95,2.03,0.013,0.02,0.024,13262.62338,15500.0,50.0,0.0
27-06-2022 13:00,11.1,10.923,10.9,39.0,39.0,40.6,0.39,0.45,0.43,978.0,975.78,1015.812,50.0,0.87,1.97,2.01,2.03,0.01,0.02,0.03,12679.33244,14000.0,50.0,0.0
27-06-2022 13:10,11.156,10.94,10.99,41.0,40.7,41.3,0.38,0.44,0.42,1027.0,1018.314,1033.326,51.0,0.87,2.03,1.99,1.96,0.02,0.02,0.02,17302.17069,13000.0,50.0,0.0
27-06-2022 13:20,11.05,11.0,10.85,41.0,42.0,40.0,0.433,0.433,0.433,1026.0,1050.84,1000.8,52.0,0.87,2.01,2.0,1.95,0.03,0.01,0.01,17553.24835,12000.0,50.0,0.0
27-06-2022 13:30,11.19,10.92,10.9,40.0,41.5,39.0,0.44,0.46,0.45,999.0,1038.33,975.78,53.0,0.87,1.98,2.03,2.01,0.01,0.03,0.03,17358.17886,13500.0,50.0,0.0
27-06-2022 13:40,11.1,10.96,11.0,42.0,43.0,40.0,0.46,0.44,0.43,1052.0,1075.86,1000.8,53.0,0.87,2.01,2.03,2.01,0.014,0.02,0.02,16392.8256,14000.0,50.0,0.0
27-06-2022 13:50,10.95,10.8,10.9,42.5,43.5,41.5,0.42,0.45,0.44,1061.0,1088.37,1038.33,53.0,0.87,2.01,2.01,2.03,0.03,0.01,0.01,18852.55279,15000.0,50.0,0.0
27-06-2022 14:00,10.84,10.84,10.94,41.0,41.0,40.0,0.41,0.45,0.45,1026.0,1025.82,1000.8,53.0,0.87,2.01,1.98,2.01,0.02,0.03,0.03,20858.64472,16000.0,50.0,0.0
27-06-2022 14:10,10.86,10.83,11.0,39.5,39.0,38.0,0.4,0.44,0.46,989.0,975.78,950.76,53.0,0.89,2.01,2.01,1.98,0.024,0.02,0.02,17196.42796,17000.0,50.0,0.0
27-06-2022 14:20,10.95,10.82,10.8,40.5,40.0,41.0,0.39,0.43,0.45,1011.0,1000.8,1025.82,53.0,0.89,1.99,1.96,2.01,0.03,0.02,0.02,20165.02223,16500.0,50.0,0.0
27-06-2022 14:30,11.0,11.14,10.85,41.5,42.5,42.0,0.38,0.42,0.44,1029.0,1063.35,1050.84,55.0,0.89,1.97,1.95,1.96,0.01,0.04,0.04,22077.14417,15000.0,50.0,0.0
27-06-2022 14:40,11.153,11.05,10.9,39.6,39.7,41.8,0.433,0.42,0.45,999.0,993.294,1045.836,55.0,0.89,2.0,2.01,1.95,0.014,0.01,0.01,11186.72699,15500.0,50.0,0.0
27-06-2022 14:50,11.1,10.93,10.99,40.2,39.8,41.3,0.46,0.42,0.44,1010.0,995.796,1033.326,55.0,0.89,1.97,1.99,2.01,0.03,0.02,0.02,20073.37843,14000.0,50.0,0.0
27-06-2022 15:00,11.156,10.99,10.85,40.1,39.5,41.2,0.44,0.46,0.43,1000.0,988.29,1030.824,55.0,0.89,1.96,1.97,1.99,0.02,0.01,0.01,13126.92573,13000.0,50.0,0.0
27-06-2022 15:10,11.05,11.195,10.9,39.2,39.4,40.5,0.45,0.433,0.42,995.0,985.788,1013.31,55.0,0.89,1.97,2.0,1.97,0.024,0.013,0.013,15256.69336,12000.0,50.0,0.0
27-06-2022 15:20,11.19,10.96,11.0,38.5,38.5,40.8,0.45,0.46,0.42,955.0,963.27,1020.816,55.0,0.89,1.97,1.97,2.0,0.03,0.01,0.01,15273.0647,13500.0,50.0,0.0
27-06-2022 15:30,11.1,11.0,10.9,39.0,39.0,40.6,0.2886,0.28580946,0.295026667,1500.0,1501.0,1500.0,100.0,0.89,1.98,1.96,1.97,0.01,0.02,0.012,34600.00973,14000.0,50.0,1.0
27-06-2022 15:40,10.95,10.9,10.94,40.7,41.0,41.3,0.296912059,0.297536618,0.300813582,1501.0,1502.0,1502.0,101.0,0.89,2.0,1.98,1.96,0.023,0.034,0.016,34885.6525,15000.0,50.0,1.0
27-06-2022 15:50,10.84,10.923,10.91,38.0,39.7,39.7,0.27424767,0.288710453,0.288174983,1502.0,1502.0,1503.0,104.0,0.89,2.01,2.01,1.97,0.03,0.023,0.014,34613.7939,16000.0,50.0,1.0
27-06-2022 16:00,10.86,10.94,11.0,37.5,38.5,38.5,0.29,0.29,0.29,0.0,0.0,0.0,90.0,0.89,2.012,1.99,1.96,0.01,0.02,0.02,2869.8725,17000.0,50.0,1.0
27-06-2022 16:10,10.95,11.0,10.9,38.3,39.1,39.1,0.3,0.3,0.3,0.0,0.0,0.0,80.0,0.89,2.0,2.0,2.0,0.02,0.03,0.01,2970.8885,16500.0,50.0,1.0
27-06-2022 16:20,10.8,10.92,10.923,38.5,38.0,38.5,1.0395,1.034812968,1.046108209,400.0,401.0,402.0,55.0,0.89,2.01,2.02,2.01,0.02,0.01,0.03,5146.7985,15000.0,50.0,1.0
27-06-2022 16:30,10.85,10.96,10.94,37.6,37.5,37.8,0.44,0.433,0.45,938.0,938.25,945.756,60.0,0.89,1.99,1.98,1.99,0.04,0.014,0.02,18659.40233,15500.0,50.0,0.0
27-06-2022 16:40,10.9,10.8,11.0,38.2,38.3,37.9,0.45,0.45,0.44,965.0,958.266,948.258,60.0,0.89,1.97,2.0,1.97,0.01,0.03,0.01,15169.38496,14000.0,50.0,0.0
27-06-2022 16:50,10.99,10.84,10.92,39.2,38.5,38.1,0.46,0.43,0.43,989.0,963.27,953.262,60.0,0.89,2.0,1.99,2.0,0.02,0.02,0.03,15691.65907,13000.0,50.0,0.0
27-06-2022 17:00,10.85,10.83,10.96,36.9,37.6,39.2,0.45,0.44,0.42,930.0,940.752,980.784,60.0,0.89,1.97,2.0,1.97,0.01,0.024,0.02,12815.344,12000.0,50.0,0.0
27-06-2022 17:10,10.9,10.82,10.8,39.2,38.2,38.5,0.44,0.45,0.433,980.0,955.764,963.27,60.0,0.91,1.96,2.03,1.96,0.013,0.03,0.02,16262.7639,13500.0,50.0,0.0
27-06-2022 17:20,11.0,11.0,10.84,38.4,39.2,37.6,0.433,0.46,0.45,956.0,980.784,940.752,60.0,0.91,2.03,2.02,2.03,0.01,0.01,0.04,9254.555009,14000.0,50.0,0.0
27-06-2022 17:30,10.9,11.153,10.83,38.7,36.9,39.7,0.46,0.45,0.43,969.0,923.238,993.294,60.0,0.91,2.01,1.98,2.01,0.03,0.014,0.01,16328.7354,15000.0,50.0,0.0
27-06-2022 17:40,10.94,11.1,11.1,36.0,39.2,38.5,0.44,0.44,0.44,905.0,980.784,963.27,60.0,0.91,1.98,1.97,1.98,0.02,0.03,0.02,17928.66628,16000.0,50.0,0.0
27-06-2022 17:50,10.91,11.156,11.1,39.5,38.4,39.1,0.45,0.433,0.45,990.0,960.768,978.282,60.0,0.91,2.01,1.99,2.01,0.01,0.02,0.01,12471.89027,17000.0,50.0,0.0
27-06-2022 18:00,11.16,11.05,10.9,39.1,38.7,38.5,0.45,0.44,0.46,977.5,968.274,963.27,63.0,0.91,1.98,2.0,1.96,0.03,0.024,0.013,20035.55092,16500.0,50.0,0.0
27-06-2022 18:10,11.0,11.0,10.92,39.1,36.0,37.8,0.44,0.46,0.45,980.0,900.72,945.756,63.0,0.91,1.99,2.03,1.95,0.02,0.03,0.01,17338.601,14000.0,50.0,0.0
27-06-2022 18:20,10.8,10.9,10.96,39.0,39.5,37.9,0.43,0.42,0.44,975.0,988.29,948.258,63.0,0.91,2.01,2.03,2.01,0.02,0.02,0.02,15892.50308,15500.0,50.0,0.0
27-06-2022 18:30,10.85,10.923,10.8,37.5,39.1,38.1,0.42,0.41,0.433,940.0,978.282,953.262,63.0,0.91,1.99,1.96,1.99,0.02,0.01,0.03,11984.85453,14000.0,50.0,0.0
27-06-2022 18:40,10.9,10.94,10.84,38.4,39.1,39.2,0.433,0.4,0.46,970.0,978.282,980.784,63.0,0.91,2.0,1.95,2.0,0.01,0.03,0.01,15711.1525,13000.0,50.0,0.0
27-06-2022 18:50,10.99,11.0,10.83,37.8,39.0,38.5,0.45,0.39,0.44,947.0,975.78,963.27,65.0,0.91,2.03,2.01,2.03,0.03,0.02,0.014,18309.13688,12000.0,50.0,0.0
27-06-2022 19:00,10.85,10.92,10.82,36.5,37.5,39.1,0.43,0.38,0.45,920.0,938.25,978.282,65.0,0.91,2.03,2.01,2.03,0.02,0.01,0.03,11464.9978,13500.0,50.0,0.0
27-06-2022 19:10,10.9,10.96,11.0,38.7,38.4,38.5,0.44,0.433,0.45,970.0,960.768,963.27,65.0,0.91,2.01,2.03,2.01,0.01,0.03,0.02,15367.85203,14000.0,50.0,0.0
27-06-2022 19:20,11.0,10.8,11.153,36.0,37.8,37.8,0.45,0.44,0.44,905.0,945.756,945.756,65.0,0.91,1.98,2.01,1.98,0.03,0.02,0.024,16916.56266,15000.0,50.0,0.0
27-06-2022 19:30,10.9,10.84,11.1,39.5,36.5,37.9,0.46,0.46,0.43,990.0,913.23,948.258,65.0,0.91,2.01,1.98,2.01,0.02,0.02,0.03,14990.45667,16000.0,50.0,0.0
27-06-2022 19:40,10.94,10.83,11.156,39.1,38.7,37.25,0.45,0.42,0.42,980.0,968.274,931.995,65.0,0.91,1.98,2.01,1.96,0.02,0.04,0.01,21825.50824,17000.0,50.0,0.0
27-06-2022 19:50,10.91,10.82,11.05,39.1,36.0,36.82,0.44,0.41,0.433,980.0,900.72,921.2364,65.0,0.91,1.97,1.96,1.98,0.01,0.01,0.014,8655.362915,16500.0,50.0,0.0
27-06-2022 20:00,11.0,11.0,11.0,39.0,39.5,38.7,0.45,0.4,0.45,979.0,988.29,968.274,67.0,0.91,2.01,1.95,2.01,0.01,0.02,0.03,12752.61837,15000.0,50.0,0.0
27-06-2022 20:10,10.9,11.153,10.9,37.5,39.1,36.0,0.44,0.39,0.43,940.0,978.282,900.72,67.0,0.91,1.99,2.01,1.99,0.02,0.01,0.02,11903.58557,15500.0,50.0,0.0
27-06-2022 20:20,10.923,11.1,10.923,38.4,39.1,39.5,0.43,0.38,0.44,969.0,978.282,988.29,67.0,0.91,1.97,1.99,1.97,0.01,0.013,0.024,10291.9001,14000.0,50.0,0.0
27-06-2022 20:30,10.94,11.156,10.94,37.8,39.0,39.1,0.275688,0.289862758,0.284789614,1500.0,1501.0,1502.0,99.0,0.91,2.0,1.97,2.0,0.013,0.01,0.03,34484.69563,13000.0,50.0,1.0
27-06-2022 20:40,11.0,11.05,11.0,36.5,39.7,39.1,0.267488341,0.292456667,0.286733333,1501.0,1500.0,1500.0,101.0,0.91,1.97,2.0,1.97,0.01,0.012,0.01,34422.91903,12000.0,50.0,1.0
27-06-2022 20:50,10.92,11.19,10.92,38.0,38.5,39.0,0.276271638,0.28721,0.28392,1502.0,1500.0,1500.0,100.0,0.91,1.96,1.97,1.96,0.02,0.016,0.023,34440.24667,13500.0,50.0,1.0
27-06-2022 21:00,10.96,11.1,10.96,37.5,39.1,37.5,0.45,0.45,0.44,0.0,0.0,0.0,80.0,0.91,1.97,1.96,1.97,0.034,0.014,0.03,2850.385033,14000.0,50.0,1.0
27-06-2022 21:10,10.8,10.95,10.8,38.3,38.5,38.4,0.45,0.45,0.45,0.0,0.0,0.0,80.0,0.91,2.01,1.97,2.01,0.023,0.01,0.02,2904.845133,15000.0,50.0,1.0
27-06-2022 21:20,10.84,10.84,10.84,38.5,37.8,37.8,1.04335,1.02438,1.02438,400.0,400.0,400.0,67.0,0.91,1.99,1.97,1.99,0.023,0.01,0.02,5090.0654,16000.0,50.0,1.0
27-06-2022 21:30,10.83,10.86,10.83,37.6,37.9,36.5,0.44,0.43,0.43,945.0,948.258,913.23,68.0,0.91,2.0,1.97,1.97,0.02,0.02,0.02,14714.80316,17000.0,50.0,0.0
27-06-2022 21:40,10.82,10.95,10.82,38.2,38.1,38.0,0.45,0.42,0.42,960.0,953.262,950.76,68.0,0.91,2.01,2.0,1.96,0.01,0.03,0.02,15054.26694,16500.0,50.0,0.0
27-06-2022 21:50,11.14,11.0,11.0,39.2,39.2,37.5,0.45,0.433,0.42,985.0,980.784,938.25,68.0,0.92,1.99,1.97,1.97,0.03,0.01,0.04,15873.01982,15000.0,50.0,0.0
27-06-2022 22:00,11.05,11.153,11.153,36.9,38.5,38.3,0.44,0.45,0.42,924.0,963.27,958.266,68.0,0.92,1.97,2.01,1.97,0.02,0.014,0.01,12875.67249,15500.0,50.0,0.0
27-06-2022 22:10,10.93,11.1,11.1,39.2,37.6,38.5,0.43,0.43,0.46,985.0,940.752,963.27,68.0,0.92,2.0,1.992,1.97,0.01,0.03,0.02,15027.15586,14000.0,50.0,0.0
27-06-2022 22:20,10.99,11.156,11.156,38.4,39.7,37.6,0.42,0.44,0.433,970.0,993.294,940.752,68.0,0.92,1.97,2.01,2.0,0.03,0.02,0.01,18956.47034,13000.0,50.0,0.0
27-06-2022 22:30,11.195,11.05,11.05,37.6,38.5,38.2,0.433,0.45,0.46,954.0,963.27,955.764,68.0,0.92,2.012,1.99,1.97,0.02,0.024,0.013,16384.31619,12000.0,50.0,0.0
27-06-2022 22:40,10.96,11.19,11.19,38.2,39.1,39.2,0.45,0.46,0.44,955.0,978.282,980.784,68.0,0.92,2.03,2.01,2.03,0.02,0.03,0.01,18705.3075,13500.0,50.0,0.0
27-06-2022 22:50,11.0,11.1,11.1,39.2,38.5,36.9,0.43,0.45,0.45,989.0,963.27,923.238,68.0,0.92,2.01,1.96,2.01,0.04,0.01,0.03,19054.04019,14000.0,50.0,0.0
27-06-2022 23:00,10.9,10.95,10.95,36.9,37.8,39.2,0.44,0.44,0.45,925.0,945.756,980.784,70.0,0.92,1.98,1.978,1.98,0.01,0.014,0.02,9887.669321,15000.0,50.0,0.0
27-06-2022 23:10,10.923,10.84,10.84,39.2,37.9,38.4,0.45,0.433,0.44,985.0,948.258,960.768,70.0,0.92,2.01,2.01,2.01,0.02,0.03,0.01,18443.20027,16000.0,50.0,0.0
27-06-2022 23:20,10.94,10.86,10.86,38.4,38.1,38.0,0.46,0.46,0.43,960.0,953.262,950.76,70.0,0.92,1.96,1.99,1.986,0.01,0.02,0.03,12021.77237,17000.0,50.0,0.0
27-06-2022 23:30,11.0,10.95,10.95,38.4,39.2,37.5,0.45,0.44,0.42,963.0,980.784,938.25,70.0,0.92,1.9678,1.97,1.995,0.013,0.024,0.02,14631.78161,16500.0,50.0,0.0
27-06-2022 23:40,10.92,10.8,11.0,38.4,38.5,38.3,0.44,0.45,0.433,963.0,963.27,958.266,70.0,0.92,2.01,2.0,2.01,0.01,0.03,0.02,15335.44754,15000.0,50.0,0.0
27-06-2022 23:50,10.96,10.85,11.153,38.0,39.1,38.5,0.433,0.45,0.45,955.0,978.282,963.27,70.0,0.92,1.99,1.97,1.99,0.02,0.02,0.02,15411.82401,15500.0,50.0,0.0
28-06-2022 00:00,10.8,10.9,11.1,37.5,38.5,37.6,0.46,0.44,0.43,940.0,963.27,940.752,70.0,0.92,2.0,1.96,1.97,0.03,0.01,0.01,14766.37188,14000.0,50.0,0.0
28-06-2022 00:10,10.84,10.99,11.156,38.3,37.8,38.2,0.44,0.43,0.44,955.0,945.756,955.764,70.0,0.92,2.03,2.02,2.0,0.01,0.03,0.03,14921.69292,13000.0,50.0,0.0
28-06-2022 00:20,10.83,10.85,11.05,38.5,37.9,39.2,0.45,0.42,0.45,960.0,948.258,980.784,70.0,0.92,2.03,2.03,1.97,0.014,0.02,0.02,13285.98032,12000.0,50.0,0.0
28-06-2022 00:30,10.82,10.9,11.19,37.6,37.25,36.9,0.45,0.433,0.46,942.0,931.995,923.238,70.0,0.92,2.01,2.01,1.96,0.03,0.01,0.01,14538.571,13500.0,50.0,0.0
28-06-2022 00:40,11.0,11.0,11.1,38.2,36.82,39.2,0.44,0.45,0.45,956.0,921.2364,980.784,70.0,0.92,1.98,1.98,1.987,0.02,0.03,0.03,17465.11603,14000.0,50.0,0.0
28-06-2022 00:50,11.153,10.9,10.95,39.2,38.7,38.4,0.43,0.43,0.44,984.0,968.274,960.768,70.0,0.92,2.01,2.01,2.03,0.024,0.02,0.02,17033.60341,15000.0,50.0,0.0
28-06-2022 01:00,11.1,10.94,10.84,36.9,36.0,38.7,0.42,0.44,0.433,920.0,900.72,968.274,70.0,0.92,1.96,1.996,2.01,0.03,0.02,0.02,16634.40812,16000.0,50.0,0.0
28-06-2022 01:10,11.156,10.91,10.86,39.2,39.5,36.0,0.433,0.45,0.46,979.0,988.29,900.72,70.0,0.92,1.978,2.075,2.04,0.01,0.04,0.04,19203.31881,17000.0,50.0,0.0
28-06-2022 01:20,11.05,11.16,10.95,38.4,39.1,39.5,0.45,0.46,0.44,956.0,978.282,988.29,70.0,0.92,2.01,2.01,2.01,0.014,0.01,0.01,10516.07327,16500.0,50.0,0.0
28-06-2022 01:30,11.2,11.0,10.8,38.7,39.1,39.1,0.43,0.45,0.45,967.5,978.282,978.282,70.0,0.92,1.99,1.99,1.986,0.03,0.02,0.02,18766.97274,14000.0,50.0,0.0
28-06-2022 01:40,11.0,11.1,11.18,36.0,39.0,39.1,0.44,0.44,0.45,899.0,975.78,978.282,70.0,0.92,1.97,1.97,1.985,0.02,0.01,0.01,11426.48225,15500.0,50.0,0.0
28-06-2022 01:50,10.95,10.953,11.13,39.5,37.5,39.0,0.45,0.45,0.44,990.0,938.25,975.78,70.0,0.92,2.0,2.0,2.01,0.024,0.013,0.013,14656.45498,14000.0,50.0,0.0
28-06-2022 02:00,10.89,10.86,11.04,39.1,38.4,37.5,0.46,0.44,0.43,975.0,960.768,938.25,70.0,0.92,1.98,1.97,1.99,0.03,0.01,0.01,15496.41617,13000.0,50.0,0.0
28-06-2022 02:10,11.03,10.94,10.89,39.1,37.8,38.4,0.45,0.43,0.42,987.0,945.756,960.768,70.0,0.92,1.96,1.96,1.97,0.01,0.012,0.02,9732.078499,12000.0,50.0,0.0
28-06-2022 02:20,11.01,10.89,10.94,39.0,36.5,37.8,0.44,0.42,0.433,977.0,913.23,945.756,70.0,0.92,1.98,1.97,2.0,0.023,0.016,0.034,14607.97991,13500.0,50.0,0.0
28-06-2022 02:30,10.9,11.0,10.98,37.5,38.0,36.5,0.45,0.42,0.45,940.0,950.76,913.23,70.0,0.92,2.01,1.97,1.97,0.03,0.014,0.023,15826.66779,14000.0,50.0,0.0
28-06-2022 02:40,11.02,11.05,11.19,38.4,37.5,38.7,0.44,0.42,0.43,963.0,938.25,968.274,72.0,0.92,1.99,1.98,1.996,0.01,0.02,0.02,11869.15179,15000.0,50.0,0.0
28-06-2022 02:50,11.17,10.98,10.97,37.8,38.3,36.0,0.43,0.46,0.44,947.0,958.266,900.72,72.0,0.92,2.0,2.0,1.997,0.02,0.01,0.03,11841.83696,16000.0,50.0,0.0
28-06-2022 03:00,11.12,10.94,10.84,36.5,38.5,39.5,0.42,0.433,0.45,915.0,963.27,988.29,72.0,0.92,2.02,2.01,1.97,0.02,0.03,0.01,17778.40523,17000.0,50.0,0.0
28-06-2022 03:10,11.0,11.04,10.99,38.7,37.6,39.1,0.2838,0.276551632,0.286472667,1500.0,1501.0,1500.0,100.0,0.92,1.98,2.012,1.98,0.04,0.02,0.014,34436.05717,16500.0,50.0,1.0
28-06-2022 03:20,11.153,11.0,11.0,36.0,38.2,39.1,0.267493671,0.27976032,0.286351531,1501.0,1502.0,1502.0,101.0,0.92,2.0,2.0,2.0,0.01,0.01,0.03,34386.6947,15000.0,50.0,1.0
28-06-2022 03:30,11.1,10.9,10.9,39.5,39.2,39.0,0.291910786,0.284474035,0.282834331,1502.0,1502.0,1503.0,104.0,0.92,1.99,2.01,2.01,0.02,0.03,0.02,34628.56913,15500.0,50.0,1.0
28-06-2022 03:40,11.156,10.923,10.923,39.1,36.9,37.5,0.290412517,0.268348003,0.27252994,1502.0,1502.0,1503.0,104.0,0.92,2.0,1.99,2.012,0.01,0.02,0.024,34418.1133,14000.0,50.0,1.0
28-06-2022 03:50,11.05,10.94,10.94,39.1,39.2,38.4,0.44,0.44,0.44,0.0,0.0,0.0,80.0,0.92,2.03,1.97,2.0,0.013,0.02,0.03,2981.247133,13000.0,50.0,1.0
28-06-2022 04:00,11.19,11.0,11.0,39.0,38.4,37.8,0.43,0.43,0.43,0.0,0.0,0.0,80.0,0.92,2.02,2.0,2.01,0.01,0.04,0.01,2905.5108,12000.0,50.0,1.0
28-06-2022 04:10,11.1,10.92,10.92,37.5,38.0,36.5,1.040625,1.0374,0.99645,400.0,400.0,400.0,60.0,0.92,1.98,1.97,1.99,0.03,0.01,0.014,4986.3825,13500.0,50.0,1.0
28-06-2022 04:20,10.95,10.96,10.96,38.4,37.5,38.0,0.45,0.433,0.42,959.0,938.25,950.76,72.0,0.92,1.97,1.96,1.97,0.02,0.02,0.03,14844.73908,14000.0,50.0,0.0
28-06-2022 04:30,10.84,10.8,10.8,37.8,38.3,37.5,0.44,0.45,0.42,945.0,958.266,938.25,72.0,0.92,1.99,2.03,2.0,0.01,0.01,0.02,8921.810189,15000.0,50.0,0.0
28-06-2022 04:40,10.86,10.84,10.84,36.5,38.5,38.3,0.43,0.43,0.46,913.0,963.27,958.266,72.0,0.92,2.0,2.01,1.97,0.03,0.013,0.024,15208.7408,16000.0,50.0,0.0
28-06-2022 04:50,10.95,10.83,10.83,38.0,37.6,38.5,0.42,0.44,0.433,950.0,940.752,963.27,72.0,0.92,2.03,1.98,1.96,0.02,0.01,0.03,11854.93872,17000.0,50.0,0.0
28-06-2022 05:00,10.8,10.82,10.82,37.5,38.2,37.6,0.433,0.45,0.46,944.0,955.764,940.752,72.0,0.92,2.03,2.01,2.03,0.02,0.02,0.02,14922.97474,16500.0,50.0,0.0
28-06-2022 05:10,10.85,11.0,11.0,38.3,39.2,38.2,0.45,0.46,0.44,958.0,980.784,955.764,72.0,0.92,1.96,1.98,2.01,0.02,0.03,0.01,18691.22643,15000.0,50.0,0.0
28-06-2022 05:20,10.9,11.153,11.153,38.5,36.9,39.2,0.43,0.45,0.45,963.0,923.238,980.784,72.0,0.92,1.95,1.99,1.98,0.01,0.01,0.03,8823.112055,15500.0,50.0,0.0
28-06-2022 05:30,10.99,11.1,11.1,37.6,39.2,36.9,0.44,0.44,0.45,945.0,980.784,923.238,72.0,0.92,2.01,2.01,2.01,0.03,0.014,0.02,16314.49214,14000.0,50.0,0.0
28-06-2022 05:40,10.85,11.156,11.156,38.2,38.4,39.2,0.45,0.433,0.44,958.0,960.768,980.784,72.0,0.92,2.01,1.99,1.98,0.02,0.03,0.01,18322.44544,13000.0,50.0,0.0
28-06-2022 05:50,10.9,11.05,11.05,39.2,38.7,38.4,0.46,0.46,0.43,980.0,968.274,960.768,72.0,0.92,2.03,2.0,1.99,0.01,0.02,0.03,12477.68247,12000.0,50.0,0.0
28-06-2022 06:00,11.0,11.19,11.19,36.9,36.0,39.2,0.45,0.44,0.42,923.0,900.72,980.784,72.0,0.92,2.01,2.03,2.01,0.03,0.024,0.02,17834.98821,13500.0,50.0,0.0
28-06-2022 06:10,10.9,11.1,11.1,39.2,39.5,36.9,0.44,0.45,0.433,964.0,988.29,923.238,72.0,0.92,1.98,2.03,1.99,0.02,0.03,0.02,18941.78569,14000.0,50.0,0.0
28-06-2022 06:20,10.94,10.95,10.95,38.4,39.1,39.2,0.433,0.45,0.45,963.0,978.282,980.784,72.0,0.92,2.01,2.01,2.0,0.02,0.01,0.04,12422.34059,15000.0,50.0,0.0
28-06-2022 06:30,11.0,10.84,10.84,38.7,39.1,38.4,0.46,0.44,0.43,970.0,978.282,960.768,72.0,0.92,1.96,1.98,2.03,0.01,0.014,0.01,10590.99336,16000.0,50.0,0.0
28-06-2022 06:40,10.8,10.86,10.86,36.0,39.0,36.0,0.44,0.43,0.44,905.0,975.78,900.72,72.0,0.92,1.9986,2.01,2.03,0.01,0.03,0.02,15016.97942,17000.0,50.0,0.0
28-06-2022 06:50,10.85,10.95,10.95,39.5,37.5,39.5,0.45,0.42,0.45,990.0,938.25,988.29,72.0,0.92,2.01,1.98,2.01,0.02,0.02,0.01,15424.90805,16500.0,50.0,0.0
