DeviceTimeStamp,Primary_VL1,Primary_VL2,Primary_VL3,Primary_IL1,Primary_IL2,Primary_IL3,Secondary_VL1,Secondary_VL2,Secondary_VL3,Secondary_IL1,Secondary_IL2,Secondary_IL3,Oil_Temperature,Power_factor,High_Voltage_Winding_1,High_Voltage_Winding_2,High_Voltage_Winding_3,Low_Voltage_Winding_1,Low_Voltage_Winding_2,Low_Voltage_Winding_3,hv1-lv1,v2-lv2,hv3-lv3,primary_copper_loss,secondary_copper_loss,Total_copper_loss,Total_iron_loss,total_loss,efficiency
27-06-2022 11:13,11.153,10.9,10.85,38.5,38.5,40.8,0.4,0.46,0.44,962,963.27,1020.816,49,0.87,1.96,1.95,2.03,0.013,0.02,0.024,1.947,1.93,2.006,3058.272233,10204.35115,13262.62338,15500,28762.62338,0.965294497
27-06-2022 11:15,11.1,10.923,10.9,39,39,40.6,0.39,0.45,0.43,978,975.78,1015.812,50,0.87,1.97,2.01,2.03,0.01,0.02,0.03,1.96,1.99,2,3133.250267,9546.082176,12679.33244,14000,26679.33244,0.967727108
27-06-2022 11:16,11.156,10.94,10.99,41,40.7,41.3,0.38,0.44,0.42,1027,1018.314,1033.326,51,0.87,2.03,1.99,1.96,0.02,0.02,0.02,2.01,1.97,1.94,3350.665833,13951.50486,17302.17069,13000,30302.17069,0.963504647
27-06-2022 11:16,11.05,11,10.85,41,42,40,0.433,0.433,0.433,1026,1050.84,1000.8,52,0.87,2.01,2,1.95,0.03,0.01,0.01,1.98,1.99,1.94,3342.27,14210.97835,17553.24835,12000,29553.24835,0.964374501
27-06-2022 11:17,11.19,10.92,10.9,40,41.5,39,0.44,0.46,0.45,999,1038.33,975.78,53,0.87,1.98,2.03,2.01,0.01,0.03,0.03,1.97,2,1.98,3240.459167,14117.71969,17358.17886,13500,30858.17886,0.962859872
27-06-2022 11:20,11.1,10.96,11,42,43,40,0.46,0.44,0.43,1052,1075.86,1000.8,53,0.87,2.01,2.03,2.01,0.014,0.02,0.02,1.996,2.01,1.99,3505.036667,12887.78893,16392.8256,14000,30392.8256,0.96339946
27-06-2022 11:21,10.95,10.8,10.9,42.5,43.5,41.5,0.42,0.45,0.44,1061,1088.37,1038.33,53,0.87,2.01,2.01,2.03,0.03,0.01,0.01,1.98,2,2.02,3643.384167,15209.16862,18852.55279,15000,33852.55279,0.959402232
27-06-2022 11:22,10.84,10.84,10.94,41,41,40,0.41,0.45,0.45,1026,1025.82,1000.8,53,0.87,2.01,1.98,2.01,0.02,0.03,0.03,1.99,1.95,1.98,3307.73,17550.91472,20858.64472,16000,36858.64472,0.955955949
27-06-2022 11:22,10.86,10.83,11,39.5,39,38,0.4,0.44,0.46,989,975.78,950.76,53,0.89,2.01,2.01,1.98,0.024,0.02,0.02,1.986,1.99,1.96,3017.4775,14178.95046,17196.42796,17000,34196.42796,0.959006744
27-06-2022 11:23,10.95,10.82,10.8,40.5,40,41,0.39,0.43,0.45,1011,1000.8,1025.82,53,0.89,1.99,1.96,2.01,0.03,0.02,0.02,1.96,1.94,1.99,3259.635833,16905.3864,20165.02223,16500,36665.02223,0.956177178
27-06-2022 11:24,11,11.14,10.85,41.5,42.5,42,0.38,0.42,0.44,1029,1063.35,1050.84,55,0.89,1.97,1.95,1.96,0.01,0.04,0.04,1.96,1.91,1.92,3457.486667,18619.6575,22077.14417,15000,37077.14417,0.955706419
27-06-2022 11:25,11.153,11.05,10.9,39.6,39.7,41.8,0.433,0.42,0.45,999,993.294,1045.836,55,0.89,2,2.01,1.95,0.014,0.01,0.01,1.986,2,1.94,3237.1263,7949.600688,11186.72699,15500,26686.72699,0.967718452
27-06-2022 11:28,11.1,10.93,10.99,40.2,39.8,41.3,0.46,0.42,0.44,1010,995.796,1033.326,55,0.89,1.97,1.99,2.01,0.03,0.02,0.02,1.94,1.97,1.99,3254.758433,16818.62,20073.37843,14000,34073.37843,0.959148224
27-06-2022 11:28,11.156,10.99,10.85,40.1,39.5,41.2,0.44,0.46,0.43,1000,988.29,1030.824,55,0.89,1.96,1.97,1.99,0.02,0.01,0.01,1.94,1.96,1.98,3201.099233,9925.826494,13126.92573,13000,26126.92573,0.968374199
27-06-2022 11:29,11.05,11.195,10.9,39.2,39.4,40.5,0.45,0.433,0.42,995,985.788,1013.31,55,0.89,1.97,2,1.97,0.024,0.013,0.013,1.946,1.987,1.957,3121.064433,12135.62893,15256.69336,12000,27256.69336,0.96705171
27-06-2022 11:30,11.19,10.96,11,38.5,38.5,40.8,0.45,0.46,0.42,955,963.27,1020.816,55,0.89,1.97,1.97,2,0.03,0.01,0.01,1.94,1.96,1.99,3056.448333,12216.61636,15273.0647,13500,28773.0647,0.965282336
27-06-2022 11:31,11.1,11,10.9,39,39,40.6,0.44,0.44,0.42,978,975.78,1015.812,55,0.89,1.98,1.96,1.97,0.01,0.02,0.012,1.97,1.94,1.958,3080.003067,9539.987304,12619.99037,14000,26619.99037,0.96779658
27-06-2022 11:33,10.95,10.9,10.94,40.7,41,41.3,0.43,0.45,0.46,1017,1025.82,1033.326,57,0.89,2,1.98,1.96,0.023,0.034,0.016,1.977,1.946,1.944,3328.1708,19861.20236,23189.37316,15000,38189.37316,0.954438252
27-06-2022 11:33,10.84,10.923,10.91,38,39.7,39.7,0.42,0.45,0.433,944,993.294,993.294,57,0.89,2.01,2.01,1.97,0.03,0.023,0.014,1.98,1.987,1.956,3058.426067,16480.18148,19538.60755,16000,35538.60755,0.957466229
27-06-2022 11:34,10.86,10.94,11,37.5,38.5,38.5,0.433,0.44,0.46,940,963.27,963.27,57,0.89,2.012,1.99,1.96,0.01,0.02,0.02,2.002,1.97,1.94,2894.754167,9137.682419,12032.43659,17000,29032.43659,0.964980337
27-06-2022 11:38,10.95,11,10.9,38.3,39.1,39.1,0.45,0.43,0.44,959,978.282,978.282,57,0.89,2,2,2,0.02,0.03,0.01,1.98,1.97,1.99,3016.34,15704.82432,18721.16432,16500,35221.16432,0.957830134
27-06-2022 11:39,10.8,10.92,10.923,38.5,38,38.5,0.43,0.42,0.45,968,950.76,963.27,57,0.89,2.01,2.02,2.01,0.02,0.01,0.03,1.99,2.01,1.98,2958.508333,9269.607959,12228.11629,15000,27228.11629,0.967085117
27-06-2022 11:40,10.85,10.96,10.94,37.6,37.5,37.8,0.44,0.433,0.45,938,938.25,945.756,60,0.89,1.99,1.98,1.99,0.04,0.014,0.02,1.95,1.966,1.97,2813.716333,15845.686,18659.40233,15500,34159.40233,0.959049311
27-06-2022 11:40,10.9,10.8,11,38.2,38.3,37.9,0.45,0.45,0.44,965,958.266,948.258,60,0.89,1.97,2,1.97,0.01,0.03,0.01,1.96,1.97,1.96,2879.4035,12289.98146,15169.38496,14000,29169.38496,0.964820958
27-06-2022 11:43,10.99,10.84,10.92,39.2,38.5,38.1,0.46,0.43,0.43,989,963.27,953.262,60,0.89,2,1.99,2,0.02,0.02,0.03,1.98,1.97,1.97,2975.3925,12716.26657,15691.65907,13000,28691.65907,0.96537716
27-06-2022 11:44,10.85,10.83,10.96,36.9,37.6,39.2,0.45,0.44,0.42,930,940.752,980.784,60,0.89,1.97,2,1.97,0.01,0.024,0.02,1.96,1.976,1.95,2845.690833,9969.653164,12815.344,12000,24815.344,0.969914061
27-06-2022 11:44,10.9,10.82,10.8,39.2,38.2,38.5,0.44,0.45,0.433,980,955.764,963.27,60,0.91,1.96,2.03,1.96,0.013,0.03,0.02,1.947,2,1.94,2959.760533,13303.00337,16262.7639,13500,29762.7639,0.964130996
27-06-2022 11:45,11,11,10.84,38.4,39.2,37.6,0.433,0.46,0.45,956,980.784,940.752,60,0.91,2.03,2.02,2.03,0.01,0.01,0.04,2.02,2.01,1.99,2989.1008,6265.454209,9254.555009,14000,23254.55501,0.971752898
27-06-2022 11:48,10.9,11.153,10.83,38.7,36.9,39.7,0.46,0.45,0.43,969,923.238,993.294,60,0.91,2.01,1.98,2.01,0.03,0.014,0.01,1.98,1.966,2,2958.0952,13370.6402,16328.7354,15000,31328.7354,0.962314865
27-06-2022 11:50,10.94,11.1,11.1,36,39.2,38.5,0.44,0.44,0.44,905,980.784,963.27,60,0.91,1.98,1.97,1.98,0.02,0.03,0.02,1.96,1.94,1.96,2842.705267,15085.96101,17928.66628,16000,33928.66628,0.959314666
27-06-2022 11:53,10.91,11.156,11.1,39.5,38.4,39.1,0.45,0.433,0.45,990,960.768,978.282,60,0.91,2.01,1.99,2.01,0.01,0.02,0.01,2,1.97,2,3047.795,9424.095272,12471.89027,17000,29471.89027,0.964469091
27-06-2022 11:54,11.16,11.05,10.9,39.1,38.7,38.5,0.45,0.44,0.46,977.5,968.274,963.27,63,0.91,1.98,2,1.96,0.03,0.024,0.013,1.95,1.976,1.947,2975.877933,17059.67298,20035.55092,16500,36535.55092,0.956325166
27-06-2022 11:54,11,11,10.92,39.1,36,37.8,0.44,0.46,0.45,980,900.72,945.756,63,0.91,1.99,2.03,1.95,0.02,0.03,0.01,1.97,2,1.94,2819.816633,14518.78437,17338.601,14000,31338.601,0.962303445
27-06-2022 11:56,10.8,10.9,10.96,39,39.5,37.9,0.43,0.42,0.44,975,988.29,948.258,63,0.91,2.01,2.03,2.01,0.02,0.02,0.02,1.99,2.01,1.99,3037.233867,12855.26921,15892.50308,15500,31392.50308,0.962241056
27-06-2022 11:57,10.85,10.923,10.8,37.5,39.1,38.1,0.42,0.41,0.433,940,978.282,953.262,63,0.91,1.99,1.96,1.99,0.02,0.01,0.03,1.97,1.95,1.96,2894.536333,9090.318192,11984.85453,14000,25984.85453,0.968540762
27-06-2022 11:58,10.9,10.94,10.84,38.4,39.1,39.2,0.433,0.4,0.46,970,978.282,980.784,63,0.91,2,1.95,2,0.01,0.03,0.01,1.99,1.92,1.99,3001.193167,12709.95933,15711.1525,13000,28711.1525,0.965354451
27-06-2022 11:58,10.99,11,10.83,37.8,39,38.5,0.45,0.39,0.44,947,975.78,963.27,65,0.91,2.03,2.01,2.03,0.03,0.02,0.014,2,1.99,2.016,2988.907567,15320.22932,18309.13688,12000,30309.13688,0.963496563
27-06-2022 11:59,10.85,10.92,10.82,36.5,37.5,39.1,0.43,0.38,0.45,920,938.25,978.282,65,0.91,2.03,2.01,2.03,0.02,0.01,0.03,2.01,2,2,2878.171433,8586.826362,11464.9978,13500,24964.9978,0.969738113
27-06-2022 12:00,10.9,10.96,11,38.7,38.4,38.5,0.44,0.433,0.45,970,960.768,963.27,65,0.91,2.01,2.03,2.01,0.01,0.03,0.02,2,2,1.99,2994.3454,12373.50663,15367.85203,14000,29367.85203,0.964590077
27-06-2022 12:00,11,10.8,11.153,36,37.8,37.8,0.45,0.44,0.44,905,945.756,945.756,65,0.91,1.98,2.01,1.98,0.03,0.02,0.024,1.95,1.99,1.956,2755.7172,14160.84546,16916.56266,15000,31916.56266,0.961634899
27-06-2022 12:01,10.9,10.84,11.1,39.5,36.5,37.9,0.46,0.46,0.43,990,913.23,948.258,65,0.91,2.01,1.98,2.01,0.02,0.02,0.03,1.99,1.96,1.98,2887.0472,12103.40947,14990.45667,16000,30990.45667,0.962706603
27-06-2022 12:02,10.94,10.83,11.156,39.1,38.7,37.25,0.45,0.42,0.42,980,968.274,931.995,65,0.91,1.98,2.01,1.96,0.02,0.04,0.01,1.96,1.97,1.95,2919.007733,18906.5005,21825.50824,17000,38825.50824,0.95371444
27-06-2022 12:02,10.91,10.82,11.05,39.1,36,36.82,0.44,0.41,0.433,980,900.72,921.2364,65,0.91,1.97,1.96,1.98,0.01,0.01,0.014,1.96,1.95,1.966,2745.408751,5909.954165,8655.362915,16500,25155.36292,0.969514392
27-06-2022 12:03,11,11,11,39,39.5,38.7,0.45,0.4,0.45,979,988.29,968.274,67,0.91,2.01,1.95,2.01,0.01,0.02,0.03,2,1.93,1.98,3036.6848,9715.933567,12752.61837,15000,27752.61837,0.966472328
27-06-2022 12:04,10.9,11.153,10.9,37.5,39.1,36,0.44,0.39,0.43,940,978.282,900.72,67,0.91,1.99,2.01,1.99,0.02,0.01,0.02,1.97,2,1.97,2816.7952,9086.790372,11903.58557,15500,27403.58557,0.966880026
27-06-2022 12:04,10.923,11.1,10.923,38.4,39.1,39.5,0.43,0.38,0.44,969,978.282,988.29,67,0.91,1.97,1.99,1.97,0.01,0.013,0.024,1.96,1.977,1.946,3006.9692,7284.930897,10291.9001,14000,24291.9001,0.970529978
27-06-2022 12:05,10.94,11.156,10.94,37.8,39,39.1,0.42,0.433,0.45,948,975.78,978.282,67,0.91,2,1.97,2,0.013,0.01,0.03,1.987,1.96,1.97,2970.556667,7077.988848,10048.54551,13000,23048.54551,0.971996129
27-06-2022 12:06,11,11.05,11,36.5,39.7,39.1,0.42,0.46,0.46,912.5,993.294,978.282,67,0.91,1.97,2,1.97,0.01,0.012,0.01,1.96,1.988,1.96,2929.4894,6725.313655,9654.803055,12000,21654.80306,0.97364489
27-06-2022 12:06,10.92,11.19,10.92,38,38.5,39,0.42,0.44,0.45,946,963.27,975.78,67,0.91,1.96,1.97,1.96,0.02,0.016,0.023,1.94,1.954,1.937,2910.4775,10922.32948,13832.80698,13500,27332.80698,0.966962743
27-06-2022 12:07,10.96,11.1,10.96,37.5,39.1,37.5,0.46,0.45,0.44,937.5,978.282,938.25,67,0.91,1.97,1.96,1.97,0.034,0.014,0.03,1.936,1.946,1.94,2845.697533,14436.48647,17282.184,14000,31282.184,0.962368754
27-06-2022 12:08,10.8,10.95,10.8,38.3,38.5,38.4,0.433,0.45,0.45,959,963.27,960.768,67,0.91,2.01,1.97,2.01,0.023,0.01,0.02,1.987,1.96,1.99,2944.115667,10150.25643,13094.3721,15000,28094.3721,0.966073466
27-06-2022 12:09,10.84,10.84,10.84,38.5,37.8,37.8,0.46,0.44,0.44,967,945.756,945.756,67,0.91,1.99,1.97,1.99,0.023,0.01,0.02,1.97,1.96,1.97,2869.294633,10156.83541,13026.13005,16000,29026.13005,0.964987678
27-06-2022 12:09,10.83,10.86,10.83,37.6,37.9,36.5,0.44,0.43,0.43,945,948.258,913.23,68,0.91,2,1.97,1.97,0.02,0.02,0.02,1.99,1.95,1.95,2760.5934,11954.20976,14714.80316,17000,31714.80316,0.961868175
27-06-2022 12:10,10.82,10.95,10.82,38.2,38.1,38,0.45,0.42,0.42,960,953.262,950.76,68,0.91,2.01,2,1.96,0.01,0.03,0.02,1.98,1.97,1.94,2888.844133,12165.42281,15054.26694,16500,31554.26694,0.962053869
27-06-2022 12:10,11.14,11,11,39.2,39.2,37.5,0.45,0.433,0.42,985,980.784,938.25,68,0.92,1.99,1.97,1.97,0.03,0.01,0.04,1.97,1.96,1.93,2951.8023,12921.21752,15873.01982,15000,30873.01982,0.962842674
27-06-2022 12:11,11.05,11.153,11.153,36.9,38.5,38.3,0.44,0.45,0.42,924,963.27,958.266,68,0.92,1.97,2.01,1.97,0.02,0.014,0.01,1.96,1.996,1.96,2850.489167,10025.18332,12875.67249,15500,28375.67249,0.965745406
27-06-2022 12:14,10.93,11.1,11.1,39.2,37.6,38.5,0.43,0.43,0.46,985,940.752,963.27,68,0.92,2,1.992,1.97,0.01,0.03,0.02,1.97,1.962,1.95,2936.507473,12090.64839,15027.15586,14000,29027.15586,0.964986484
27-06-2022 12:16,10.99,11.156,11.156,38.4,39.7,37.6,0.42,0.44,0.433,970,993.294,940.752,68,0.92,1.97,2.01,2,0.03,0.02,0.01,1.95,1.99,1.99,2966.781367,15989.68898,18956.47034,13000,31956.47034,0.961588771
27-06-2022 12:17,11.195,11.05,11.05,37.6,38.5,38.2,0.433,0.45,0.46,954,963.27,955.764,68,0.92,2.012,1.99,1.97,0.02,0.024,0.013,1.992,1.966,1.957,2889.621807,13494.69439,16384.31619,12000,28384.31619,0.965735329
27-06-2022 12:18,10.96,11.19,11.19,38.2,39.1,39.2,0.45,0.46,0.44,955,978.282,980.784,68,0.92,2.03,2.01,2.03,0.02,0.03,0.01,1.99,1.98,2.02,3051.514833,15653.79266,18705.3075,13500,32205.3075,0.961301247
27-06-2022 12:18,11,11.1,11.1,39.2,38.5,36.9,0.43,0.45,0.45,989,963.27,923.238,68,0.92,2.01,1.96,2.01,0.04,0.01,0.03,2,1.95,1.98,2910.230833,16143.80936,19054.04019,14000,33054.04019,0.960321854
27-06-2022 12:21,10.9,10.95,10.95,36.9,37.8,39.2,0.44,0.44,0.45,925,945.756,980.784,70,0.92,1.98,1.978,1.98,0.01,0.014,0.02,1.96,1.964,1.96,2854.92684,7032.742481,9887.669321,15000,24887.66932,0.96982902
27-06-2022 12:22,10.923,10.84,10.84,39.2,37.9,38.4,0.45,0.433,0.44,985,948.258,960.768,70,0.92,2.01,2.01,2.01,0.02,0.03,0.01,2,1.98,2,2979.8987,15463.30157,18443.20027,16000,34443.20027,0.958723134
27-06-2022 12:22,10.94,10.86,10.86,38.4,38.1,38,0.46,0.46,0.43,960,953.262,950.76,70,0.92,1.96,1.99,1.986,0.01,0.02,0.03,1.947,1.97,1.956,2882.2085,9139.563871,12021.77237,17000,29021.77237,0.96499275
27-06-2022 12:23,11,10.95,10.95,38.4,39.2,37.5,0.45,0.44,0.42,963,980.784,938.25,70,0.92,1.9678,1.97,1.995,0.013,0.024,0.02,1.9578,1.946,1.975,2911.429573,11720.35204,14631.78161,16500,31131.78161,0.962542906
27-06-2022 12:24,10.92,10.8,11,38.4,38.5,38.3,0.44,0.45,0.433,963,963.27,958.266,70,0.92,2.01,2,2.01,0.01,0.03,0.02,1.99,1.97,1.99,2958.938167,12376.50937,15335.44754,15000,30335.44754,0.963466033
27-06-2022 12:24,10.96,10.85,11.153,38,39.1,38.5,0.433,0.45,0.45,955,978.282,963.27,70,0.92,1.99,1.97,1.99,0.02,0.02,0.02,1.96,1.95,1.97,2944.997733,12466.82628,15411.82401,15500,30911.82401,0.962797708
27-06-2022 12:25,10.8,10.9,11.1,37.5,38.5,37.6,0.46,0.44,0.43,940,963.27,940.752,70,0.92,2,1.96,1.97,0.03,0.01,0.01,1.99,1.95,1.96,2834.2724,11932.09948,14766.37188,14000,28766.37188,0.965290131
27-06-2022 12:26,10.84,10.99,11.156,38.3,37.8,38.2,0.44,0.43,0.44,955,945.756,955.764,70,0.92,2.03,2.02,2,0.01,0.03,0.03,2.016,1.99,1.97,2927.507833,11994.18509,14921.69292,13000,27921.69292,0.966274959
27-06-2022 12:26,10.83,10.85,11.05,38.5,37.9,39.2,0.45,0.42,0.45,960,948.258,980.784,70,0.92,2.03,2.03,1.97,0.014,0.02,0.02,2,2.01,1.95,2984.0202,10301.96012,13285.98032,12000,25285.98032,0.969360948
27-06-2022 12:27,10.82,10.9,11.19,37.6,37.25,36.9,0.45,0.433,0.46,942,931.995,923.238,70,0.92,2.01,2.01,1.96,0.03,0.01,0.01,1.99,2,1.95,2766.471275,11772.09973,14538.571,13500,28038.571,0.966138569
27-06-2022 12:28,11,11,11.1,38.2,36.82,39.2,0.44,0.45,0.45,956,921.2364,980.784,70,0.92,1.98,1.98,1.987,0.02,0.03,0.03,1.956,1.95,1.957,2875.636477,14589.47955,17465.11603,14000,31465.11603,0.962157022
27-06-2022 12:28,11.153,10.9,10.95,39.2,38.7,38.4,0.43,0.43,0.44,984,968.274,960.768,70,0.92,2.01,2.01,2.03,0.024,0.02,0.02,1.98,1.99,2.01,3030.7867,14002.81671,17033.60341,15000,32033.60341,0.961499628
27-06-2022 12:29,11.1,10.94,10.84,36.9,36,38.7,0.42,0.44,0.433,920,900.72,968.274,70,0.92,1.96,1.996,2.01,0.03,0.02,0.02,1.95,1.976,1.99,2755.3095,13879.09862,16634.40812,16000,32634.40812,0.960805838
27-06-2022 12:30,11.156,10.91,10.86,39.2,39.5,36,0.433,0.45,0.46,979,988.29,900.72,70,0.92,1.978,2.075,2.04,0.01,0.04,0.04,1.964,2.035,2,2973.61089,16229.70792,19203.31881,17000,36203.31881,0.956705124
27-06-2022 12:30,11.05,11.16,10.95,38.4,39.1,39.5,0.45,0.46,0.44,956,978.282,988.29,70,0.92,2.01,2.01,2.01,0.014,0.01,0.01,1.98,2,2,3057.6254,7458.447872,10516.07327,16500,27016.07327,0.967333074
27-06-2022 12:31,11.2,11,10.8,38.7,39.1,39.1,0.43,0.45,0.45,967.5,978.282,978.282,70,0.92,1.99,1.99,1.986,0.03,0.02,0.02,1.97,1.97,1.966,3019.650553,15747.32219,18766.97274,14000,32766.97274,0.960652891
27-06-2022 12:32,11,11.1,11.18,36,39,39.1,0.44,0.44,0.45,899,975.78,978.282,70,0.92,1.97,1.97,1.985,0.02,0.01,0.01,1.946,1.96,1.975,2861.392617,8565.089635,11426.48225,15500,26926.48225,0.967437876
27-06-2022 12:32,10.95,10.953,11.13,39.5,37.5,39,0.45,0.45,0.44,990,938.25,975.78,70,0.92,2,2,2.01,0.024,0.013,0.013,1.97,1.987,1.997,2996.736667,11659.71832,14656.45498,14000,28656.45498,0.965418172
27-06-2022 12:33,10.89,10.86,11.04,39.1,38.4,37.5,0.46,0.44,0.43,975,960.768,938.25,70,0.92,1.98,1.97,1.99,0.03,0.01,0.01,1.97,1.96,1.98,2910.1215,12586.29467,15496.41617,13000,28496.41617,0.96560466
27-06-2022 12:34,11.03,10.94,10.89,39.1,37.8,38.4,0.45,0.43,0.42,987,945.756,960.768,70,0.92,1.96,1.96,1.97,0.01,0.012,0.02,1.937,1.948,1.95,2900.625733,6831.452766,9732.078499,12000,21732.0785,0.973553328
27-06-2022 12:34,11.01,10.89,10.94,39,36.5,37.8,0.44,0.42,0.433,977,913.23,945.756,70,0.92,1.98,1.97,2,0.023,0.016,0.034,1.95,1.954,1.966,2831.264167,11776.71574,14607.97991,13500,28107.97991,0.966057591
27-06-2022 12:35,10.9,11,10.98,37.5,38,36.5,0.45,0.42,0.45,940,950.76,913.23,70,0.92,2.01,1.97,1.97,0.03,0.014,0.023,2,1.956,1.947,2765.258333,13061.40946,15826.66779,14000,29826.66779,0.964056749
27-06-2022 12:39,11.02,11.05,11.19,38.4,37.5,38.7,0.44,0.42,0.43,963,938.25,968.274,72,0.92,1.99,1.98,1.996,0.01,0.02,0.02,1.97,1.96,1.976,2902.71288,8966.43891,11869.15179,15000,26869.15179,0.967504953
27-06-2022 12:39,11.17,10.98,10.97,37.8,38.3,36,0.43,0.46,0.44,947,958.266,900.72,72,0.92,2,2,1.997,0.02,0.01,0.03,1.98,1.99,1.967,2793.190667,9048.646289,11841.83696,16000,27841.83696,0.966368169
27-06-2022 12:40,11.12,10.94,10.84,36.5,38.5,39.5,0.42,0.433,0.45,915,963.27,988.29,72,0.92,2.02,2.01,1.97,0.02,0.03,0.01,1.98,1.98,1.96,2914.72,14863.68523,17778.40523,17000,34778.40523,0.958338159
27-06-2022 12:40,11,11.04,10.99,38.7,37.6,39.1,0.42,0.46,0.46,969,940.752,978.282,72,0.92,1.98,2.012,1.98,0.04,0.02,0.014,1.97,1.992,1.966,2945.651707,18424.14082,21369.79253,16500,37869.79253,0.954802294
27-06-2022 12:43,11.153,11,11,36,38.2,39.1,0.42,0.44,0.45,899,955.764,978.282,72,0.92,2,2,2,0.01,0.01,0.03,1.98,1.99,1.97,2856.033333,5748.735566,8604.768899,15000,23604.7689,0.971339689
27-06-2022 12:44,11.1,10.9,10.9,39.5,39.2,39,0.46,0.45,0.44,990,980.784,975.78,72,0.92,1.99,2.01,2.01,0.02,0.03,0.02,1.98,1.98,1.99,3083.584633,16159.87775,19243.46238,15500,34743.46238,0.958378276
27-06-2022 12:44,11.156,10.923,10.923,39.1,36.9,37.5,0.433,0.45,0.45,987,923.238,938.25,72,0.92,2,1.99,2.012,0.01,0.02,0.024,1.987,1.97,1.988,2865.532967,8937.192031,11802.725,14000,25802.725,0.968754372
27-06-2022 12:45,11.05,10.94,10.94,39.1,39.2,38.4,0.46,0.44,0.44,980,980.784,960.768,72,0.92,2.03,1.97,2,0.013,0.02,0.03,2.02,1.95,1.97,3026.595033,10584.25604,13610.85108,13000,26610.85108,0.967807281
27-06-2022 12:46,11.19,11,11,39,38.4,37.8,0.44,0.43,0.43,976,960.768,945.756,72,0.92,2.02,2,2.01,0.01,0.04,0.01,1.99,1.96,2,2964.5028,15486.07452,18450.57732,12000,30450.57732,0.963332463
